數學,,,,,
星級/題目,選項1,選項2,選項3,選項4,正確答案
一星,,,,,
若點 (a;b) 在第二象限，則點 ( a^2 ; - b ) 在第幾象限 ?,一,二,三,四,4
不等式 5x + 3y + 7 <= 0 的圖解不經過第幾象限 ? ,一,二,三,四,1
方程式 sin x + cos x = 0 在 ( 0 ; pi ) 內有多少個解 ?,0,1,2,3,2
不透明的箱中有大小相同，編號分別為 1、2、3、4、5、6 的球各一顆，同時由箱中隨機取出三顆球，每球被取出的機會均相等，則取出的三顆球編號之和大於 12 的機率為何 ?,1 / 60,1 / 30,1 / 15,1 / 5,4
某校舉辦新生盃網球個人賽，比賽採單淘汰制，也就是比賽一場輸的就淘汰，勝的晉級到下一輪比賽。若有 32 位新生參加比賽，則共要舉辦多少場比賽，才會產生冠軍 ?,31,32,(32 * 31) / 2,32 * 31,1
1 + 1 = ?,田,王,3,2,4
9 * 9 = ?,78,79,80,81,4
小明有五個五塊，一個十塊，請問小明有多少錢 ?,10,55,25,35,4
一天有幾秒 ? ,86500,86400,86300,86200,2
小明今年六歲，他的妹妹的年齡是他的一半，請問小明 60 歲的時候，他的妹妹多大 ?,57,63,47,48,1
,,,,,
二星,,,,,
設 a、 b為循環小數， a = 0.12 ( 末兩位循環 ) 、 b = 0.01 ( 末兩位循環 )。 則 a - b 的值是下列哪一個選項 ? ,0.11,0.1111,1 / 9,10 / 99,3
坐標平面上，直線 y = 2x 與直線 y = -3x + 5 將坐標平面分割成四個區域。試問下列哪一個選項中的點會和點 (1;1) 在同一個區域？,(20;-56),(13;-33),(-1;1),(-15;-29),1
已知正整數 a 與正整數 b 的乘積是 11位 數，而 a 除 以 b 的商之整數部分是 2 位 數， 則 a 可 能 為幾位數？,5,6,8,9,2
某遊戲的規則為同時擲兩顆公正骰子一次，若兩顆點數和為 6 或者至少有一顆點數為 6，即可獲得獎金 36 元，否則沒有獎金，則這個遊戲獎金的期望值為 ? ,18,16,20,24,2
保險公司推出躉繳型保單（即於一開始存入一固定本金），且宣告年利率為 3%的複利， 每年計算一次。若某人於 20 歲時，花 10 萬元購買此保單，則當保單價值達 20 萬元時， 某人約幾歲 ? ,24,34,44,54,3
某棒球投手自 4 月 1 日開始每天練投，他每日投球數為等差數列。若 4 月 5 日投球數為 41 個，4 月 13 日為 73 個，則他 4 月份有幾天投球數超過 100 個 ? ,10,11,12,13,2
若 k 為實數，且點 P (1 ; k ) 為曲線 kx^2 + y^2 + 2x - 4y + k - 1 = 0 上之一點，求曲線之圖形 為何 ?,圓,拋物線,橢圓,雙曲線,1
設 f(x) = 2x^3 + x^2 -7x - 6，則下列何者不為 f(x)的因式？,x + 1,x - 2,2x + 3,2x - 1,4
某班有 30 位學生，其中 20 位男生、10 位女生。今任選二位擔任班長和副班長，若規定其中一位是男生，另一位是女生，則共有幾種選法 ? ,200,400,435,870,2
某次模擬考有 10000 人參加，若小明的百分等級是 95，則小明的排名會在下列哪個區間 ? ,[ 401;500 ] ,[ 501; 600 ],[ 9401;9500 ],[ 9501;9600 ],1
,,,,,
三星,,,,,
若隨機變數 X 的可能值為 1、 2、 3、 4，其出現的機率 P ( X = k ) 與 1 / k 成正比，則 機 率 P ( X = 3 ) 為 ? , 4 / 25,1 / 25,1 / 15,3 / 15,1
在坐標平面上，一圓心在 y 軸正向上的圓，與直線 y = mx 相切，其中 m > 0 。 若此圓圓心與 x 軸的距離和切點與 x 軸的距離之比值為 5，則 m = ?, 1 / 3,1 / 2,1 / 4,1 / 6,2
在複數平面上，設 O 為原點，且 A、 B分別表示坐標為複數 z 、 z + 1的點。已知 點 A、 點 B 都在以 O 為圓心的單位圓上，試選出錯誤的選項。,直線AB與時數軸平行。,z^3 = 1,坐標為 1 + 1 / z 的點也在同一單位圓上。,點A 在第二象限。,4
從 1、2、3、4、5、6、7、8、9 這九個數中任意取出三個相異的數，每數被取出的機率皆相等，則三數乘積是一完全平方數的機率為?,1 / 7,1 / 14,1 / 10,1 / 12,2
考 慮 多 項 式 f(x) = 3x^4 + 11x^2 - 4， 試 選 出 正 確 的 選 項 。,f(x) = 0 有四個實跟。,f(x) = 0 至少有 一 個有理根。,f(x) = 0 有 一 根 介 於 0 與 1 之 間。,f(x) = 0 有 一 根 介 於 1 與 2 之 間。,3
坐標平面上有一條拋物線 U，其上有四個點構成等腰梯形，且等腰梯形的對稱軸與 U 的對稱軸重合。已知該等腰梯形的上底為4、下底為 6、高為 14， 則 U 的焦距為 ? ,5 / 56,1 / 28,3 / 28,1 / 11,1
設 S 為坐標平面上直線 2x + y = 10被平行線 x - 2y + 15 = 0與  x - 2y = 0所截的線段  ( 含 端 點  ) 。 若直線 3x - y = c 與 S 有 交 點 ， 則 c 的最小值為 ? ,5,6,7,8,1
"! ~ LUCKY QUESTION ~ !  The Answer Is ""two""!",I don't believe.,I believe!!,I don't believe.,I don't believe.,2
網路賣家以 200 元的成本取得某件模型，並以成本的 5 倍作為售價，差價即為利潤。但過了一段時間無人問津，因此賣家決定以逐次減少一半利潤的方式調降售價。若依此方式進行，則調降三次後該模型的售價為 ? ,2250,250,300,1,3
QQ The question is hided. Only you can do is to Guess the Answer.,OAO,/*****-*****\,AWA,ZZZ,4
,,,,,
英文,,,,,
一星,,,,,
Tom is really a naughty boy. He likes to _____ and play jokes on his younger sister when their parents are not around.,alert,spare,tease,oppose,3
Elderly shoppers in this store are advised to take the elevator rather than the _____; which may move too fast for them to keep their balance.,airway,operator,escalator,instrument,3
蘋果的英文 ?,apple,orange,guava,pie,1
To encourage classroom _____; the teacher divided the class into groups and asked them to solve a problem together with their partners.,operation,interaction,adjustment,explanation,2
Hundreds of residents received free testing _____ from the city government to find out if their water contained any harmful chemicals.,kits,trials,zones,proofs,1
The 2011 Nobel Peace Prize was awarded _____ to three women for the efforts they made in fighting for women’s rights.,actively,earnestly,jointly,naturally,3
After hours of discussion; our class finally reached the _____ that we would go to Hualien for our graduation trip.,balance,conclusion,definition,harmony,2
The potato chips have been left uncovered on the table for such a long time that they no longer taste fresh and _____.,solid,crispy,original,smooth,2
The students in Professor Smith’s classical Chinese class are required to _____ poems by famous Chinese poets.,construct,expose,recite,install,3
"LUCKY TIME!! The ans is ""one""!!",me!!,me!!,me!!,me!!,1
,,,,,
二星,,,,,
Since many of our house plants are from humid jungle environments; they need _____ air to keep them green and healthy.,moist,stale,crisp,fertile,1
Lisa _____ onto the ground and injured her ankle while she was playing basketball yesterday.,buried,punched,scattered,tumbled,4
The problem of illegal drug use is very complex and cannot be traced to merely one _____ reason.,singular,countable,favorable,defensive,1
The townspeople built a _____ in memory of the brave teacher who sacrificed her life to save her students from a burning bus.,monument,refugee,souvenir,firecracker,1
Ancient Athens; famous for its early development of the democratic system; is often said to be the _____ of democracy.,mission,target,cradle,milestone,3
The candy can no longer be sold because it was found to contain artificial ingredients far beyond the _____ level.,abundant,immense,permissible,descriptive,3
It is bullying to _____ a foreign speaker’s accent. No one deserves to be laughed at for their pronunciation.,mock,sneak,prompt,glare,1
The police officer showed us pictures of drunk driving accidents to highlight the importance of staying _____ on the road.,sober,majestic,vigorous,noticeable,1
Few people will trust you if you continue making _____ promises and never make efforts to keep them.,chilly,liberal,hollow,definite,3
After the first snow of the year; the entire grassland disappeared under a _____ of snow.,flake,blossom,blanket,flash,3
,,,,,
三星,,,,,
The skydiver managed to land safely after jumping out of the aircraft; even though her _____ failed to open in midair.,glimpse,latitude,segment,parachute,4
